Date,Account,classification,Daily_PnL,Trade_Count,Win_Rate,Avg_Trade_Size,Avg_Leverage,Leverage Segment,Frequency Segment,Performance Segment
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,0.0,3,0.0,159.0,0.09193333333333333,Low,Infrequent,Loser
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,0.0,9,0.0,5556.203333333334,2.513866666666667,Low,Infrequent,Loser
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-205.43473700000007,11,0.36363636363636365,10291.213636363636,-132.57430181818182,Low,Infrequent,Loser
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-24.632033999999997,2,0.0,5304.975,-2440.0,Low,Infrequent,Loser
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,3,0.0,5116.256666666667,12124.666666666666,High,Infrequent,Loser
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,304.982785,14,0.5,8305.572857142857,10738.717442857143,High,Infrequent,Winner
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,2,0.0,15582.089999999998,0.004,Low,Infrequent,Loser
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1000.5386120000001,15,0.6666666666666666,6106.827333333334,27078.30564,High,Infrequent,Winner
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,162.732282,18,0.4444444444444444,7868.710555555556,20047.266666666666,High,Infrequent,Winner
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,537.211402,49,0.5306122448979592,2555.795306122449,121.77714285714285,High,Frequent,Winner
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,141.832675,10,0.2,8887.428,251.338681,High,Infrequent,Winner
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,146.936704,13,0.6153846153846154,6033.711538461538,30063.046153846153,High,Infrequent,Winner
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1008.619956,39,0.38461538461538464,10332.177948717948,22665.121184871794,High,Frequent,Winner
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-245.081348,3,0.0,19982.836666666666,4.545599999999999,Low,Infrequent,Loser
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-704.8892269999999,28,0.14285714285714285,6121.823571428571,38641.607142857145,High,Infrequent,Loser
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-970.730876,23,0.0,4352.923913043478,29411.130434782608,High,Infrequent,Loser
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,508.92214299999995,50,0.3,11391.1944,429.0781206,High,Frequent,Winner
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,354.998648,52,0.4423076923076923,13510.58096153846,6261.575806538462,High,Frequent,Winner
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-129.53146,18,0.05555555555555555,14679.973888888888,414.7732555555556,High,Infrequent,Loser
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,783.979116,17,0.47058823529411764,7138.1611764705885,-46986.74279,Low,Infrequent,Winner
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,866.015507,67,0.417910447761194,5888.050149253731,1876.3014791044775,High,Frequent,Winner
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-67.60364,5,0.0,19958.508,17.57154,High,Infrequent,Loser
